name,link,severity,package,version,fixedBy
CVE-2019-25013,https://avd.aquasec.com/nvd/cve-2019-25013,MEDIUM,libc-bin,2.28-10,2.28-10+deb10u2
CVE-2020-10029,https://avd.aquasec.com/nvd/cve-2020-10029,MEDIUM,libc-bin,2.28-10,2.28-10+deb10u2
CVE-2020-27618,https://avd.aquasec.com/nvd/cve-2020-27618,MEDIUM,libc-bin,2.28-10,2.28-10+deb10u2
CVE-2023-4806,https://avd.aquasec.com/nvd/cve-2023-4806,MEDIUM,libc-bin,2.28-10,
CVE-2023-4813,https://avd.aquasec.com/nvd/cve-2023-4813,MEDIUM,libc-bin,2.28-10,
CVE-2024-33600,https://avd.aquasec.com/nvd/cve-2024-33600,MEDIUM,libc-bin,2.28-10,2.28-10+deb10u4
CVE-2016-10228,https://avd.aquasec.com/nvd/cve-2016-10228,MEDIUM,libc6,2.28-10,2.28-10+deb10u2
CVE-2019-25013,https://avd.aquasec.com/nvd/cve-2019-25013,MEDIUM,libc6,2.28-10,2.28-10+deb10u2
CVE-2020-10029,https://avd.aquasec.com/nvd/cve-2020-10029,MEDIUM,libc6,2.28-10,2.28-10+deb10u2
CVE-2020-27618,https://avd.aquasec.com/nvd/cve-2020-27618,MEDIUM,libc6,2.28-10,2.28-10+deb10u2
CVE-2023-4806,https://avd.aquasec.com/nvd/cve-2023-4806,MEDIUM,libc6,2.28-10,
CVE-2023-4813,https://avd.aquasec.com/nvd/cve-2023-4813,MEDIUM,libc6,2.28-10,
CVE-2024-33600,https://avd.aquasec.com/nvd/cve-2024-33600,MEDIUM,libc6,2.28-10,2.28-10+deb10u4
CVE-2021-22947,https://avd.aquasec.com/nvd/cve-2021-22947,MEDIUM,libcurl4,7.64.0-4+deb10u2,7.64.0-4+deb10u3
CVE-2022-27774,https://avd.aquasec.com/nvd/cve-2022-27774,MEDIUM,libcurl4,7.64.0-4+deb10u2,7.64.0-4+deb10u4
CVE-2022-27776,https://avd.aquasec.com/nvd/cve-2022-27776,MEDIUM,libcurl4,7.64.0-4+deb10u2,7.64.0-4+deb10u3
CVE-2022-32206,https://avd.aquasec.com/nvd/cve-2022-32206,MEDIUM,libcurl4,7.64.0-4+deb10u2,7.64.0-4+deb10u3
CVE-2022-32208,https://avd.aquasec.com/nvd/cve-2022-32208,MEDIUM,libcurl4,7.64.0-4+deb10u2,7.64.0-4+deb10u3
CVE-2022-43552,https://avd.aquasec.com/nvd/cve-2022-43552,MEDIUM,libcurl4,7.64.0-4+deb10u2,7.64.0-4+deb10u4
